STATION_ID,DATE,TIME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,SEASON,MEASUREMENT
13296,6/20/91,11:04,29.50888824,-94.75805664,1991,6,20,Summer,28
13296,3/17/92,9:30,29.50888824,-94.75805664,1992,3,17,Spring,20.1
13296,9/23/91,11:24,29.50888824,-94.75805664,1991,9,23,Fall,26
13296,9/23/91,11:24,29.50888824,-94.75805664,1991,9,23,Fall,26
13296,6/20/91,11:04,29.50888824,-94.75805664,1991,6,20,Summer,28
13296,12/17/91,10:15,29.50888824,-94.75805664,1991,12,17,Winter,13
13296,6/29/92,11:17,29.50888824,-94.75805664,1992,6,29,Summer,29.2
13305,3/24/87,11:53,29.57361031,-94.96416473,1987,3,24,Spring,18.5
13305,4/2/87,13:39,29.57361031,-94.96416473,1987,4,2,Spring,16.9
13305,8/11/87,15:25,29.57361031,-94.96416473,1987,8,11,Summer,29.8
13305,8/11/87,15:25,29.57361031,-94.96416473,1987,8,11,Summer,31.2
13305,11/2/87,15:19,29.57361031,-94.96416473,1987,11,2,Fall,22.58
13305,2/8/88,15:30,29.57361031,-94.96416473,1988,2,8,Winter,9
13305,12/13/88,13:43,29.57361031,-94.96416473,1988,12,13,Winter,12.93
13305,4/3/89,12:01,29.57361031,-94.96416473,1989,4,3,Spring,20.81
13305,4/3/89,12:01,29.57361031,-94.96416473,1989,4,3,Spring,20.97
13305,10/11/89,13:56,29.57361031,-94.96416473,1989,10,11,Fall,23.4
13305,10/16/90,12:54,29.57361031,-94.96416473,1990,10,16,Fall,23.1
13305,4/16/91,11:18,29.57361031,-94.96416473,1991,4,16,Spring,23.3
13305,6/4/91,12:29,29.57361031,-94.96416473,1991,6,4,Summer,29.5
13305,2/10/92,13:06,29.57361031,-94.96416473,1992,2,10,Winter,12.7
13305,1/21/93,12:53,29.57361031,-94.96416473,1993,1,21,Winter,13.6
13305,10/5/94,13:50,29.57361031,-94.96416473,1994,10,5,Fall,26.9
13305,4/25/95,13:30,29.57361031,-94.96416473,1995,4,25,Spring,20.4
13305,4/9/96,13:16,29.57361031,-94.96416473,1996,4,9,Spring,17.19
13305,5/19/98,13:05,29.57361031,-94.96416473,1998,5,19,Spring,27.7
13305,5/13/99,9:17,29.57361031,-94.96416473,1999,5,13,Spring,24.2
13305,8/17/99,10:42,29.57361031,-94.96416473,1999,8,17,Summer,30.7
13305,11/18/99,11:10,29.57361031,-94.96416473,1999,11,18,Fall,20.6
13305,2/15/00,10:35,29.57361031,-94.96416473,2000,2,15,Winter,16.5
13305,8/21/02,10:15,29.57361031,-94.96416473,2002,8,21,Summer,29.41
13305,7/28/86,13:30,29.57361031,-94.96416473,1986,7,28,Summer,29.8
13305,11/6/86,13:05,29.57361031,-94.96416473,1986,11,6,Fall,19.3
13305,1/5/87,14:48,29.57361031,-94.96416473,1987,1,5,Winter,10.9
13305,11/27/73,13:45,29.57361031,-94.96416473,1973,11,27,Fall,23
13305,9/5/74,10:20,29.57361031,-94.96416473,1974,9,5,Fall,23
13305,9/5/74,10:20,29.57361031,-94.96416473,1974,9,5,Fall,23.5
13305,9/5/84,12:00,29.57361031,-94.96416473,1984,9,5,Fall,26
13305,5/25/76,18:45,29.57361031,-94.96416473,1976,5,25,Spring,27
13305,10/27/76,12:40,29.57361031,-94.96416473,1976,10,27,Fall,17.5
13305,6/30/77,11:25,29.57361031,-94.96416473,1977,6,30,Summer,29
13305,3/7/78,11:25,29.57361031,-94.96416473,1978,3,7,Spring,12.5
13305,3/7/78,11:25,29.57361031,-94.96416473,1978,3,7,Spring,12.5
13305,5/31/78,14:47,29.57361031,-94.96416473,1978,5,31,Spring,28
13305,7/26/78,13:05,29.57361031,-94.96416473,1978,7,26,Summer,30
13305,11/29/78,11:00,29.57361031,-94.96416473,1978,11,29,Fall,15.8
13305,12/7/78,10:25,29.57361031,-94.96416473,1978,12,7,Winter,17.5
13305,1/24/79,11:20,29.57361031,-94.96416473,1979,1,24,Winter,8
13305,3/27/79,11:00,29.57361031,-94.96416473,1979,3,27,Spring,18.5
13305,5/30/79,10:45,29.57361031,-94.96416473,1979,5,30,Spring,25
13305,8/2/79,10:50,29.57361031,-94.96416473,1979,8,2,Summer,29
13305,4/23/80,9:50,29.57361031,-94.96416473,1980,4,23,Spring,21.5
